File Name,Cell Number,inside,outisde
20250523_JAMango_400nMTO1B_20-20-50_sample1_1_1,3,52,3
,,47,3
,,53,1
20250523_JAMango_400nMTO1B_20-20-50_sample1_1_2,2,78,29
,,48,32
20250523_JAMango_400nMTO1B_20-20-50_sample1_1_3,2,213,8
,,164,9
20250523_JAMango_400nMTO1B_20-20-50_sample1_1_4,1,111,121
20250523_JAMango_400nMTO1B_20-20-50_sample1_2_1,1,47,7
20250523_JAMango_400nMTO1B_20-20-50_sample1_2_2,1,172,0
20250523_JAMango_400nMTO1B_20-20-50_sample1_2_3,2,133,4
,,101,2
20250523_JAMango_400nMTO1B_20-20-50_sample1_2_4,1,66,11
,,247,66
20250523_JAMango_400nMTO1B_20-20-50_sample1_3_1,1,136,8
20250523_JAMango_400nMTO1B_20-20-50_sample1_3_2,1,113,3
20250523_JAMango_400nMTO1B_20-20-50_sample1_3_3,4,24,5
,,39,12
,,84,5
,,79,7
20250523_JAMango_400nMTO1B_20-20-50_sample2_1,1,133,183
,1,196,3
,1,307,12
,1,65,17
20250523_JAMango_400nMTO1B_20-20-50_sample2_2,1,66,18
,1,313,13
,2,199,3
,,237,4
,1,40,4
20250523_JAMango_400nMTO1B_20-20-50_sample2_3,1,218,19
,5,232,3
,,107,1
,,126,3
,,117,4
,,125,25
20250523_JAMango_400nMTO1B_20-20-50_sample3_1,2,75,70
,,82,31
,1,430,4
,1,518,1
,1,64,224
,1,150,40
20250523_JAMango_400nMTO1B_20-20-50_sample3_2,5,91,2
,,120,2
,,99,5
,,91,2
,,101,2
20250523_JAMango_400nMTO1B_20-20-50_sample3_3,3,46,3
,,37,2
,,33,6
,1,427,20
,1,137,9
,,,
Total,50,,
